time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-09-23T00:48:19.951Z,31.679,-104.418,6.3886,2.5,ml(texnet),16,68,0,0.2,tx,tx2023sqfx,2023-10-02T00:36:24.040Z,"55 km S of Whites City, New Mexico",earthquake,0.8000584012,0.7457911883,0.1,31,reviewed,tx,tx
2023-09-22T12:18:31.454Z,32.2871,-103.3149,7.7,3.5,ml,33,61,0.098,0.5,us,us7000kxci,2023-10-01T04:46:39.040Z,"22 km SW of Eunice, New Mexico",earthquake,1.94,6.915,0.085,26,reviewed,us,us
2023-09-21T19:35:48.366Z,32.008,-103.842,5.9259,2.5,ml(texnet),20,74,0,0.1,tx,tx2023soac,2023-09-27T16:21:15.040Z,"32 km SE of Malaga, New Mexico",earthquake,1.380029687,0.8132823206,0.1,6,reviewed,tx,tx
2023-09-20T16:09:55.377Z,31.51911132,-104.1640309,6.568603516,2.809321979,ml(texnet),10,77.0350531,0.1604871948,0.2060111058,tx,tx2023slxy,2023-10-18T02:24:57.040Z,"41 km WNW of Toyah, Texas",earthquake,1.604061625,2.469253901,0.1581722777,7,reviewed,tx,tx
2023-09-20T02:14:59.485Z,31.479,-103.737,133.4251,2.8,mlv,5,357,0.6,0,tx,tx2023skwh,2023-09-22T22:26:48.972Z,"18 km NNE of Toyah, Texas",earthquake,176.9326764,41.24241036,0.4,3,automatic,tx,tx
2023-09-20T01:29:57.898Z,32.47375488,-102.0924638,4.352945964,2.8,ml,21,73,0.1012374717,0.2,tx,tx2023skuu,2023-10-19T03:04:13.040Z,"31 km SSW of Los Ybanez, Texas",earthquake,1.195755628,2.5332279909999995,0.1,7,reviewed,tx,tx
2023-09-13T05:18:31.195Z,31.62901529,-104.3635558,6.851391602,2.7,ml,18,76,0.06442958063,0.1,tx,tx2023ryhu,2023-10-11T09:45:14.040Z,"60 km S of Whites City, New Mexico",earthquake,0.9610586562,1.219660307,0,6,reviewed,tx,tx
2023-09-12T17:19:15.464Z,31.67568637,-104.4309811,6.774267578,2.8,ml,14,60,0.006334042429,0.1,tx,tx2023rxkc,2023-10-09T17:42:48.040Z,"55 km S of Whites City, New Mexico",earthquake,1.648696599,1.355906615,0.1,6,reviewed,tx,tx
2023-09-11T11:32:28.379Z,31.6574241,-104.3772564,6.131567383,3.1,ml,63,58,0.04671835208,0.3,tx,tx2023rvdd,2023-09-22T07:45:41.040Z,"57 km S of Whites City, New Mexico",earthquake,0.6859440361,0.5905639471000002,0.1,35,reviewed,tx,tx
2023-09-11T00:23:35.998Z,31.65478102,-104.280893,8.445288086,2.9,ml,59,58,0.02167422663,0.3,tx,tx2023ruhc,2023-10-11T02:51:09.040Z,"58 km S of Whites City, New Mexico",earthquake,0.7630505774000002,0.7357579707,0.1,32,reviewed,tx,tx
2023-09-10T21:32:44.181Z,31.56496156,-104.0237212,8.702368164,2.5,ml,17,58,0.03971163465,0.1,tx,tx2023rubl,2023-10-08T18:36:20.040Z,"35 km NW of Toyah, Texas",earthquake,0.8401281232,0.8912503412,0.1,19,reviewed,tx,tx
